Rk,Year,League,Age,FGA,threesMade,threeAttempts,threePercentage
1,2022,NBA,26.3,27956,3863,10815,.357
2,2021,NBA,26.1,216722,30598,86535,.354
3,2020,NBA,26.1,190983,27427,74822,.367
4,2019,NBA,26.1,188116,25862,72252,.358
5,2018,NBA,26.3,219458,27955,78742,.355
6,2017,NBA,26.4,211709,25807,71340,.362
7,2016,NBA,26.6,210115,23748,66422,.358
8,2015,NBA,26.7,208049,20953,59241,.354
9,2014,NBA,26.7,205570,19300,55137,.350
10,2013,NBA,26.5,204172,19054,52974,.360
11,2012,NBA,26.7,201609,17603,49067,.359
12,2011,NBA,26.6,161225,12693,36395,.349
13,2010,NBA,26.6,199790,15886,44313,.358
14,2009,NBA,26.6,200989,15822,44622,.355
15,2008,NBA,26.6,199054,16352,44583,.367
16,2007,NBA,26.8,200501,16124,44544,.362
17,2006,NBA,26.6,196073,14926,41672,.358
18,2005,NBA,26.5,194315,14086,39313,.358
19,2004,NBA,26.9,197626,13777,38748,.356
20,2003,NBA,27.0,189802,12321,35492,.347
21,2002,NBA,27.2,192109,12200,34912,.349
22,2001,NBA,27.4,193263,12402,35074,.354
23,2000,NBA,27.7,191664,11524,32597,.354
24,1999,NBA,27.8,195220,11513,32614,.353
25,1998,NBA,27.9,113379,6463,19080,.339
26,1997,NBA,27.7,189537,10450,30231,.346
27,1996,NBA,27.7,188594,14383,39943,.360
28,1995,NBA,27.5,190675,14000,38161,.367
29,1994,NBA,27.2,180423,12153,33889,.359
30,1993,NBA,27.2,186951,7301,21907,.333
31,1992,NBA,27.1,190295,6668,19824,.336
32,1991,NBA,27.2,193391,5587,16898,.331
33,1990,NBA,27.2,193059,5055,15812,.320
34,1989,NBA,27.1,192951,4829,14608,.331
35,1988,NBA,26.9,182385,4332,13431,.323
36,1987,NBA,26.9,165441,2979,9421,.316
37,1986,NBA,26.6,167455,2687,8913,.301
38,1985,NBA,26.8,167166,1774,6293,.282
39,1984,NBA,26.4,168048,1671,5917,.282
40,1983,NBA,26.4,166638,1120,4484,.250
41,1982,NBA,26.1,169098,1011,4248,.238
42,1981,NBA,26.2,166418,1129,4308,.262
43,1980,NBA,26.2,166769,936,3815,.245
44,1979,NBA,26.4,163521,1403,5003,.280
